"action_allow","Zezwól"
"effect_reason_ground","Typ podłoża"
"effect_reason_temperature","Temperatura"
"effect_reason_time_decomposespeed","Stos <LinkAlmanac=""Systemdecomposition"">rozpadnie się</link> za"
"effect_reason_time_rottingspeed","Stos <LinkAlmanac=""Systemdecomposition"">zgnije</link> za"
"effect_reason_weather","Bez dachu"
"end_position","Pozycja końcowa"
"free_spaces","Wolne miejsca"
"game_name","Going Medieval"
"general_Celsius","Celsjusz"
"general_Fahrenheit","Fahrenheit"
"general_Kelvin","Kelvin"
"general_accept","Akceptuj"
"general_attack","Atakuj"
"general_autosave_frequency","Automatyczny zapis (dni)"
"general_autumn","Jesień"
"general_xp","PD"
"general_back","Powrót"
"general_back_almanac","Poprzedni"
"general_next_alamanc","Następny"
"general_base_value","Podstawowa wartość atrybutu"
"general_blocked","Okno zablokowane"
"general_cancel","Anuluj"
"general_close","Zamknij"
"general_clothes","Ubrania"
"general_consume","Jedz:"
"general_drink","Pij"
"general_copy","Kopiuj"
"general_damage","Podstawowe obrażenia"
"general_day","dzień"
"general_days","dni"
"general_deliver","Dostarcz amunicję"
"general_description","Opis"
"general_drop","Upuść przedmiot"
"general_edit","Edytuj"
"general_effects","Efekty"
"general_empty","Puste"
"general_enemy","Wróg"
"general_equip","Wyposaż:"
"general_finish","Zakończ"
"general_headware","Nakrycie głowy"
"general_info","Informacje"
"general_item_slot_body","Okno ubrania"
"general_item_slot_bodyarmor","Okno pancerza ogólnego"
"general_item_slot_head","Okno nakrycia głowy"
"general_item_slot_lefthand","Okno lewej ręki"
"general_item_slot_righthand","Okno prawej ręki"
"general_lock_camera","Przejdź do"
"general_max_temperature","Maksymalna komfortowa temperatura"
"general_maxLevel","Maksymalnie"
"general_min_temperature","Minimalna komfortowa temperatura"
"general_next","Dalej"
"general_no","Nie"
"general_of","z"
"general_ok","OK"
"general_operate","Obsługuj"
"general_overcast","Zachmurzenie"
"general_paste","Wklej"
"general_requirements","Wymagania"
"general_reset","Wyzeruj"
"general_skill_level_up","– umiejętność ma teraz poziom"
"general_spring","Wiosna"
"general_summer","Lato"
"general_symbol_Celsius","°C"
"general_symbol_Fahrenheit","°F"
"general_symbol_Kelvin","°K"
"general_temperature","Temperatura"
"general_temperature_units","Jednostki temperatury"
"general_to","do"
"general_unlocks","Odblokowania"
"general_villager","Osadnik"
"general_winter","Zima"
"general_yes","Tak"
"global_position","Ogólna pozycja"
"growth_halted","Zatrzymany wzrost"
"head_armor","Pancerz nagłowny"
"hour_type_any","Dowolnie"
"hour_type_draft","[Zbrojny/Zbrojna]"
"hour_type_leisure","Wypoczynek"
"hour_type_psychoticCrazy","Załamanie"
"hour_type_sleep","Sen"
"hour_type_working","Praca"
"hour_type_caravan","Tworzy karawanę"
"hour_type_any_name","Dowolnie"
"hour_type_tooltip_convalescing","Priorytet ma rekonwalescencja, nawet jeżeli zadanie jest wyłączone w panelu zajęć."
"hour_type_tooltip_sleeping","Możliwość spania o tej godzinie jest wyłączona."
"hour_type_tooltip_work","Priorytet mają zajęcia ustawione w panelu zajęć."
"hour_type_tooltip_role","Pierwszeństwo nad wszystkimi pozostałymi czynnościami mają obowiązki związane z rolą."
"hour_type_tooltip_leisure","Priorytet ma wypoczynek, nawet jeżeli osadnik nie był go wcześniej pozbawiony."
"hour_type_tooltip_anything","Priorytet mają potrzeby osadnika. Po ich zaspokojeniu osoba wykonuje powierzone zadania."
"hour_type_tooltip_sleep","Spanie ma priorytet nad wszystkimi pozostałymi czynnościami."
"hour_type_tooltip_nosleep","Nigdy nie będzie spać o tej godzinie."
"hour_type_draft_name","[Zbrojny/Zbrojna]"
"hour_type_leisure_name","Wypoczynek"
"hour_type_psychotic_name","Załamanie"
"hour_type_sleep_name","Sen"
"hour_type_working_name","Praca"
"hour_type_caravan_name","Tworzy karawanę"
"hour_type_role_job_name","Obowiązki roli"
"hud_info_area","Tworzy skład, gdzie twoi osadnicy będą przechowywać zasoby"
"hud_info_hide_roof","Ukryj elementy dachu, aby widzieć wnętrze"
"hud_info_hide_room","Pokaż nakładkę wykrywanych pomieszczeń"
"hud_info_jobs","Określ, czym ma zajmować się osadnik"
"hud_info_layer_down","Wyświetl jedną warstwę niżej"
"hud_info_layer_up","Wyświetl jedną warstwę wyżej"
"hud_info_layer_additional","<br/>Użyj [<style=Shortcut>Ctrl</style>] + [<style=Shortcut>Kółka myszy</style>], aby szybko przechodzić pomiędzy warstwami.<br/>Użyj [<style=Shortcut>Ctrl</style>] + <sprite=""ctrl_left_click"" index=t> na dowolnym obiekcie lub podłożu, aby przejść do wybranej warstwy."
"hud_info_order_allow","Wybierz stosy, z których osadnicy mogą albo nie mogą korzystać"
"hud_lb_order_UrgentHaul","Pilny transport"
"hud_info_order_UrgentHaul","Zaznacz stosy i przedmioty wymagające pilnego transportu"
"hud_info_order_cancel","Cofnij wydane rozkazy"
"hud_info_order_chopping","Rozkaż prowadzenie wyrębu drzew"
"hud_info_order_cleaning",""
"hud_info_order_clearall","Rozkaż prowadzenie wyrębu, ścinanie lub wydobycie we wszystkich obiektach"
"hud_info_order_createcrops","Stwórz obszar hodowli roślin"
"hud_info_order_cutallvegetation","Rozkaż wycinanie roślinności"
"hud_info_order_cutting","Wskaż obszar roślinności do wycinki i zbiorów"
"hud_info_order_deconstructing","Oznacz budynki przeznaczone do rozbiórki"
"hud_info_order_digging","Oznacz obszary, na których ma być prowadzone wydobycie"
"hud_info_order_tame","Oznacz zwierzęta, które osadnicy mają udomowić"
"hud_info_order_train","Oznacz zwierzęta, które osadnicy mają wyszkolić na pupili"
"hud_info_order_slaughter","Oznacz zwierzęta przeznaczone do uboju"
"hud_info_order_release","Oznacz zwierzęta przeznaczone do uwolnienia (staną się dzikie i będą swobodnie przemierzać teren)"
"hud_info_order_harvesting","Oznacz rośliny przeznaczone do zbiorów"
"hud_info_order_hunting","Oznacz zwierzęta, na które mają polować myśliwi"
"hud_info_order_minevoxel","Kop głębiej w ziemi"
"hud_info_order_mining","Rozkaż prowadzenie wydobycia na obszarach złóż kamienia, żelaza i gliny"
"hud_info_orders","Rozkaz, jaki możesz wydać swoim osadnikom"
"hud_info_pause","Wstrzymaj grę"
"hud_info_report","Pomóż nam, wysyłając zgłoszenia błędów, sugestie oraz ogólne komentarze. Ktoś na pewno je przeczyta."
"hud_info_research","Wybierz, co chcesz odblokować dzięki zgromadzonej wiedzy"
"hud_info_resources","Lista wszystkich zasobów znajdujących się w składach"
"hud_info_schedule","Określ codzienne obowiązki osadników"
"hud_info_speed_01","Prędkość gry – normalna"
"hud_info_speed_02","Prędkość gry X2"
"hud_info_speed_03","Prędkość gry X5"
"hud_lb_Almanac","Almanach"
"hud_lb_area","Skład"
"hud_lb_jobs","Zajęcia"
"hud_lb_world","Region"
"hud_info_world","Wyświetl mapę regionu i sąsiednie osady"
"hud_lb_order_allow","Zezwolenie"
"hud_lb_order_cancel","Anuluj"
"hud_lb_order_chopping","Rąbanie"
"hud_lb_order_cleaning","Oczyszczanie"
"hud_lb_order_createcrops","Sadzenie upraw"
"hud_lb_order_cutallvegetation","Wycinka roślinności"
"hud_lb_order_cutting","Wycinka"
"hud_lb_order_deconstructing","Rozbiórka"
"hud_lb_order_digging","Wydobycie"
"hud_lb_order_harvesting","Zbiory"
"hud_lb_order_hunting","Polowanie"
"hud_lb_order_minevoxel","Kopanie"
"hud_lb_order_mining","Wydobycie"
"hud_lb_orders","Rozkazy"
"hud_lb_orders_all","Rozkazy"
"hud_lb_pile","Stos"
"hud_lb_report","Zgłoś błędy lub wyślij opinię"
"hud_lb_report_title","Zgłoś"
"report_bug_tnx_sending","Dziękujemy za kontakt! W trakcie przesyłania raportu możesz kontynuować rozgrywkę."
"hud_lb_research","Badania"
"hud_lb_resources","Zasoby"
"hud_lb_schedule","Rozkład zajęć"
"ignores_armor","Przebicie pancerza"
"in_draft","[Zbrojny/Zbrojna]"
"inside","Wewnątrz"
"low_temperature","Niska temperatura"
"max_stack","Maks. nagromadzenie"
"max_yield_in","Maks. zbiór za"
"menu_accessories","Akcesoria"
"menu_allow_all","Zezwól na wszystko"
"menu_allow_all_prod_info","Zezwól na wykorzystanie wszystkich zasobów w wytwarzaniu tego produktu"
"menu_allow_all_stock_info","Zezwól na składowanie w tym miejscu wszystkich zasobów"
"menu_background","Tło"
"menu_background_01","Tło #1"
"menu_background_02","Tło #2"
"menu_backstory","Historia"
"menu_base","Podstawowe"
"menu_leisure","Wypoczynek"
"menu_cancel_production","Anuluj produkcję"
"production_no_allowed_resources","Brak dopuszczalnych zasobów"
"production_no_resources","Brak wystarczającej ilości zasobów"
"menu_clear","Usuń"
"menu_clear_all","Usuń wszystko"
"menu_clear_all_prod_info","Wyczyść listę zasobów dopuszczonych do wytwarzania tego produktu."
"menu_clear_all_stock_info","Usuń wszystkie zasoby z listy dopuszczonych"
"menu_click_to_jump","(<sprite=""ctrl_left_click"" index=t>, aby przejść do miejsca)"
"menu_completion","Ukończenie"
"menu_construction","Budowa"
"menu_cropfield_size","Wielkość pola uprawnego"
"menu_decoration","Różne"
"menu_decoration_old","Ozdoba"
"menu_decrease_count","Zmniejsz ilość"
"menu_decrease_priority","Zmniejsz priorytet"
"menu_delete","Usuń"
"menu_edit_production","Edytuj produkcję"
"menu_equipment","Wyposażenie"
"menu_floor","Podłoga"
"menu_furniture","Meble"
"menu_hunger","Żywność"
"menu_increase_count","Zwiększ ilość"
"menu_increase_priority","Zwiększ priorytet"
"menu_misc","Różne"
"menu_nearby_furniture","Meble w pobliżu"
"menu_nutrition","Odżywianie"
"menu_pause_production","Wstrzymaj produkcję"
"menu_perks","Cechy"
"menu_produced","Produkowane zasoby"
"menu_production","Produkcja"
"menu_production_queue","Kolejka produkcji"
"menu_products","Produkty"
"menu_pseudonym","Pseudonim"
"menu_quality","Jakość"
"menu_recipe","Potrzebne zasoby"
"menu_roof","Dach"
"menu_rot","Świeże"
"menu_skills","Umiejętności"
"menu_stockplie_size","Wielkość składu"
"menu_storage","Ilość zapasów"
"menu_value","Wartość:"
"menu_defense","Obronność"
"menu_x10","Przytrzymaj [<style=Shortcut>Control</style>] i <sprite=""ctrl_left_click"" index=t> <b>x10</b>"
"menu_x100","Przytrzymaj [<style=Shortcut>Shift</style>] i <sprite=""ctrl_left_click"" index=t><b>x100</b>"
"menu_zone","Strefa"
"multiselect_panel","Wybór zbiorczy"
"needed_skills","Wymagana umiejętność"
"no_active_productions","Brak aktywnej produkcji"
"outside","Na zewnątrz"
"outsideFog","Na zewnątrz we mgle"
"outsideRain","Na zewnątrz w deszczu"
"outsideSnow","Na zewnątrz w śniegu"
"popup_message_beta",""
"precision","Celność"
"precision_weapon","Celność aktywnej broni"
"precision_falloff","Spadek precyzji wraz z odległością"
"priority_down","Zmniejsz wszystko"
"priority_up","Zwiększ wszystko"
"production_amount","Ilość"
"production_forever","Cały czas"
"production_until","Do uzyskania"
"production_amount_info","Tryb „Ilość” wprowadza kolejkę wytwarzania określonej liczby (ilości) gotowych produktów."
"production_forever_info","Tryb „Cały czas” wprowadza kolejkę stałego wytwarzania, gdy dostępne są surowce potrzebne do wytworzenia produktu."
"production_until_info","Tryb „Do uzyskania” wprowadza kolejkę wytwarzania, która jest kontynuowana do momentu osiągnięcia określonej liczby (ilości) produktów."
"production_until_info_books","Tryb „Do czasu uzyskania” dla ksiąg będzie kontynuowany do momentu osiągnięcia określonej liczby nieprzydzielonych ksiąg (księgi przeznaczone na potrzeby badań nie są już dostępne)."
"production_idle","Bezczynność"
"production_paused","Produkcja wstrzymana"
"production_resource_select_desc","Określ, które zasoby są dopuszczalne dla tego produktu."
"production_skill","Nie można wyprodukować: brak odpowiedniego poziomu umiejętności"
"production_target_reached","Osiągnięto wartość docelową produkcji"
"production_speed","Szybkość produkcji"
"range","Zakres"
"research_allocated","Przydzielone"
"research_allocated_info","Liczba wykorzystana w odblokowanych badaniach."
"research_available","Dostępne"
"research_available_info","Ilość dostępna do odblokowania nowych badań."
"research_available_info_negative","Jeżeli dostępna liczba jest wartością ujemną, oznacza to utratę ksiąg zawierających wiedzę. Przed rozpoczęciem odblokowywania nowych badań konieczne będzie uzyskanie ponownie tej samej wartości."
"resource_categories","Kategorie zasobów"
"roofed","Pod dachem"
"select_crop","Wybierz uprawy"
"select_variant","Wybierz odmianę"
"skill_needed","Potrzebna umiejętność"
"skill_requirements","Wymagania umiejętności"
"stability_link","<LinkAlmanac=""Systemstability"">Stabilność</link>"
"start_position","Pozycja początkowa"
"storage","Zapasy"
"menu_food_pouch","Sakwa"
"total_spaces","Całkowita przestrzeń"
"trebuchet_has_agent","Ktoś już obsługuje ten trebusz"
"trebuchet_no_agent","Nikt nie obsługuje tego trebusza"
"two_handed","Oburęczna"
"used_spaces","Wykorzystana przestrzeń"
"weapon_and_modifiers","Broń i modyfikatory"
"weather_clear","Bezchmurnie"
"weather_fog","Mgła"
"weather_rain","Deszcz"
"weather_snow","Śnieg"
"weather_thunderstorm","Burza z piorunami"
"weather_hailstorm","Gradobicie"
"weather_heat_wave","Fala upałów"
"weather_cold_snap","Atak mrozu"
"building_info_resources_needed","Potrzebne zasoby"
"menu_add_new","Dodaj nowy"
"add_new_profile_info","Dodaj własny profil"
"delete_profile","Usuń profil"
"research_available_error","Brak wystarczającej liczby ksiąg"
"research_allocated_info_negative","Brakuje kilku wymaganych ksiąg, co oznacza ich utratę. Aby odblokować nowe badania, musisz je zastąpić."
"info_position","Pozycja"
"info_walk_speed","Prędkość poruszania"
"info_room","W pomieszczeniu"
"info_natural_slope","Zbocze"
"info_stability","Stabilność"
"undrafted_stance","Postawa cywila"
"auto_equip_weapon","Zarządzanie bronią"
"auto_equip_weapon_info","Wybierz broń, w którą automatycznie wyposaży się każdy osadnik."
"auto_equip_shield","Zarządzanie tarczami"
"auto_equip_shield_info","Wybierz tarczę, w którą automatycznie wyposaży się każdy osadnik."
"auto_equip_headware","Zarządzanie nakryciami głowy"
"auto_equip_headware_info","Wybierz nakrycie głowy, w które automatycznie wyposaży się każdy osadnik."
"auto_equip_apparel","Zarządzanie strojem"
"auto_equip_apparel_info","Wybierz strój, w który automatycznie wyposaży się każdy osadnik."
"auto_equip_armor","Zarządzanie pancerzami"
"auto_equip_armor_info","Wybierz pancerz, w który automatycznie wyposaży się każdy osadnik."
"restrict_food","Zarządzanie żywnością"
"restrict_food_info","Wybierz rodzaj żywności, jaki może spożywać każdy osadnik."
"restrict_stimulants","Zarządzanie stymulantami"
"restrict_stimulants_info","Wybierz rodzaj stymulantów, jaki może spożywać każdy osadnik."
"profile","Profil"
"edit_Weapons_profiles","Edytuj profile broni"
"edit_Shields_profiles","Edytuj profile tarczy"
"edit_Headware_profiles","Edytuj profile nakrycia głowy"
"edit_Armor_profiles","Edytuj profile pancerza"
"edit_Apparel_profiles","Edytuj profile ubrania"
"edit_Food_profiles","Edytuj profile żywności"
"edit_Alcohol_profiles","Edytuj profile alkoholu"
"manageDefaultPreset_weapon_all","Wszystkie bronie"
"manageDefaultPreset_weapon_none","Bez broni"
"manageDefaultPreset_weapon_melee_onehanded","Jednoręczna (walka wręcz)"
"manageDefaultPreset_weapon_melee_twohanded","Oburęczna (walka wręcz)"
"manageDefaultPreset_weapon_ranged","Dystansowa"
"manageDefaultPreset_shield_all","Wszystkie tarcze"
"manageDefaultPreset_sheild_none","Bez tarcz"
"manageDefaultPreset_headware_all","Wszystkie nakrycia głowy"
"manageDefaultPreset_headware_none","Bez nakrycia głowy"
"manageDefaultPreset_headware_helmet","Hełm"
"manageDefaultPreset_headware_cap","Czapka"
"manageDefaultPreset_armor_all","Wszystkie pancerze"
"manageDefaultPreset_armor_none","Bez pancerzy"
"manageDefaultPreset_apparel_all","Wszystkie stroje"
"manageDefaultPreset_apparel_none","Bez stroju"
"manageDefaultPreset_apparel_winter","Zima"
"manageDefaultPreset_apparel_summer","Lato"
"manageDefaultPreset_food_all","Cała żywność"
"manageDefaultPreset_food_none","Bez żywności"
"manageDefaultPreset_food_raw","Surowa"
"manageDefaultPreset_food_meal","Posiłek"
"manageDefaultPreset_food_cannibal","Kanibal"
"manageDefaultPreset_stimulants_all","Wszystkie stymulanty"
"manageDefaultPreset_stimulants_none","Bez stymulantów"
"auto_equipped","Automatyczne wyposażenie"
"manually_equipped","Manualne wyposażenie"
"object_size","Wymiary obiektu"
"has_stability_to_build","– połączenie ze stabilnym obiektem"
"hud_info_hide_zoneGrid","Pokaż kolorową nakładkę siatki dla stref"
"resource_group_FoodStimulants","Stymulanty"
"action_ToggleForbid","Włącz opcję Zezwól/Zabroń"
"action_ToggleUrgent","Włącz/Wyłącz pilny transport"
"thermal_insulation","Izolacja cieplna"
"thermal_emission","Wytwarzane ciepło"
"room_types_legend","Legenda pomieszczeń"
"historical_records_title","Informacje historyczne"
"statistics_title","Statystyki"
"history_title","Historia"
"PopulationCount_title","Liczba mieszkańców"
"ResourceWealth_title","Wartość zasobów"
"BuildingWealth_title","Wartość budynków"
"TotalWealth_title","Łączny majątek"
"FoodAmount_title","Zapasy żywności"
"MoodAverage_title","Nastrój osadników"
"PopulationCount_info","Łączna liczba osadników w czasie gry"
"ResourceWealth_info","Łączna wartość wszystkich zasobów w czasie gry"
"BuildingWealth_info","Łączna wartość wszystkich budynków w czasie gry"
"TotalWealth_info","Łączna wartość zasobów i budynków w czasie gry"
"FoodAmount_info","Łączna wartość zapasów żywności w czasie gry"
"MoodAverage_info","Średni wskaźnik nastroju w czasie gry"
"play_time","Czas gry"
"days_from_start","Dni od początku"
"lost_villagers","Utraceni osadnicy"
"max_villagers","Maks. liczba osadników"
"raids_won","Wygrane najazdy"
"raids_lost","Przegrane najazdy"
"enemies_killed","Zabici wrogowie"
"enemies_total","Łączna liczba wrogów"
"villagers_died","Utraceni osadnicy"
"buildings_destroyed","Zniszczone budynki"
"raid_time","Czas trwania najazdu"
"most_damage_delt","Największe obrażenia zadane przez:"
"worker_banish_event_log_type","[Wygnanie osadnika/Wygnanie osadniczki]"
"worker_banish_event_log_title","<name> musi odejść z osady"
"worker_banish_event_log_info","<name> [został wygnany/została wygnana]. Po raz ostatni widziano [go, jak zmierzał/ją, jak zmierzała] w kierunku <origin>"
"worker_died_event_log_type","[Śmierć osadnika/Śmierć osadniczki]"
"worker_died_event_log_title","<name> <surname> umiera"
"worker_died_event_log_info","<name> umiera w wieku <age> lat..."
"max_yield_time","Maks. zbiór za"
"number_of_harvests","Liczba zbiorów"
"hud_info_show_beauty_heatmap","Pokaż mapę termiczną estetyki"
"hud_info_hide_trees","Ukryj korony drzew"
"hud_info_hide_item_indicator","Pokaż wskaźniki przedmiotów"
"hud_info_resource_groups","Grupowanie elementów w panelu zasobów"
"ctrl_ShowHideTrees","Drzewa: Pokaż/Ukryj"
"ctrl_ShowHideItemIndicators","Wskaźniki obiektu: Pokaż/Ukryj"
"ctrl_ShowHideResourceGroups","Grupy zasobów: Pokaż/Ukryj"
"keycode_DoubleQuote",""""
"keycode_LeftParen","("
"keycode_RightParen",")"
"world_map_forest_bandits","Leśni bandyci"
"world_map_progeny","Potomkowie"
"ui_region_influence","Wpływy w regionie"
"preset_name_weapon_melee_twohanded","Oburęczna"
"info_panel_wealth","Wartość"
"village_yours","Twoja osada"
"village_enemy","Wroga osada"
"village_friendly","Zaprzyjaźniona osada"
"InfluenceAmount_title","Wpływy"
"InfluenceAmount_info","Wraz z rozwojem osady wzrastają również jej wpływy w regionie.<br/><br/>Aby zyskać wpływy, musisz zwiększać swój majątek poprzez gromadzenie zasobów i stawianie budynków.<br/>Jeszcze szybciej wpływy wzrastają dzięki zwycięstwom w bitwach i odpieraniu wrogich najazdów.<br/><br/>Osiągnięcie poziomu 100% oznacza, że twoja osada ma największe wpływy w całym regionie."
"hud_lb_Manage","Zarządzanie"
"hud_info_Manage","Decyduj, w co automatycznie wyposażają się twoi osadnicy i co spożywają."
"hud_lb_HistoricRecords","Informacje historyczne"
"hud_info_HistoricRecords","Sprawdź statystyki i informacje historyczne dotyczące osady."
"list_at_least","Co najmniej"
"list_at_exactly","Dokładnie"
"action_ExpandZone","Zwiększ strefę"
"action_ShrinkZone","Zmniejsz strefę"
"date_time_details_title","Czas i pory roku"
"date_time_details_info","Rok jest podzielony na cztery pory, a każda z nich trwa 12 dni.<br/><br/><b>Wiosna</b><br/> – Umiarkowana temperatura. Częste opady deszczu i mgły. Niewielkie prawdopodobieństwo gradobicia.<br/><br/><b>Lato</b><br/> – Wysoka temperatura. Prawdopodobieństwo fal upałów. Zbuduj podziemny skład, aby żywność zachowała świeżość podczas długich letnich dni.<br/><br/><b>Jesień</b><br/> – Umiarkowana temperatura. Częste opady deszczu i mgły. Prawdopodobieństwo burz z piorunami i gradobicia.<br/><br/><b>Zima</b><br/> – Niska temperatura. Duże prawdopodobieństwo opadów śniegu i zamieci. Prawdopodobieństwo mrozu. Roślinność nie będzie rosnąć w niskich temperaturach, więc przed początkiem zimy zadbaj o to, aby jak najwięcej zasiać i zebrać."
"general_minute_short","m"
"general_hour_short","g"
"general_day_short","d"
"general_year_short","r"
"hud_lb_takePhoto","Zrób zrzut ekranu"
"hud_info_takePhoto","Zrób zrzut ekranu i zapisz obraz na dysku twardym"
"hud_lb_toggleUi","Włącz/Wyłącz element interfejsu"
"hud_info_toggleUi","Pokaż/Ukryj elementy interfejsu użytkownika na tym ekranie"
"hud_lb_PhotoMode","Tryb zrzutów ekranu"
"hud_info_PhotoMode","Włącz/Wyłącz tryb zrzutów ekranu"
"photo_save_location","Zrzut ekranu został zapisany w:"
"add_new","Dodaj nowy"
"add_conditions","Dodaj warunki"
"general_see_also","Zobacz również"
"almanac_group_name_Equipment","Wyposażenie"
"plant_sow_time","Czas zasiewu"
"plant_grows_on","Rośnie na"
"plant_cultivable","Nadaje się do uprawy"
"related_topics","Powiązane tematy"
"healing_multiplier","Mnożnik opatrywania ran"
"effector_on_use","Modyfikatory po użyciu"
"effector_proximity","W pobliżu znajduje się obiekt z efektem modyfikatora"
"effector_on_equip","Modyfikatory po wyposażeniu"
"unit_suffix_meters_per_second","m/s"
"unit_suffix_percent","%"
"unit_suffix_per_hour","/h"
"unit_suffix_times","x"
"unit_suffix_per_second","/s"
"unit_suffix_hour","h"
"unit_suffix_second","s"
"attribute_group_General","Ogólne"
"attribute_group_Jobs","Praca"
"attribute_group_Combat","Walka"
"expires_in","Wygasa za"
"starting_conditions","Warunki początkowe"
"village_name","Nazwa osady"
"AllLayers_apply_order","Wszystkie warstwy"
"SingleLayer_apply_order","Pojedyncza warstwa"
"allbuildings_deconstruct","Wybierz wszystkie budynki"
"floors_deconstruct","Wybierz tylko podłogi"
"walls_deconstruct","Wybierz tylko ściany"
"roofs_deconstruct","Wybierz tylko dachy"
"workbenchfurniture_deconstruct","Wybierz tylko stoły warsztatowe/meble"
"general_imminent","Niedługo"
"menu_modifiers","Modyfikatory"
"reserved_by","Zarezerwowane przez"
"general_miss","Chybienie"
"general_search","Wyszukaj"
"scenario_edit_clothes_title","Domyślne ubrania"
"scenario_edit_clothes_info","Zestaw losowych ubrań osadników na początku gry."
"general_evade","Unik"
"report_bug_quitting","Wystąpił błąd!<br/>Serdecznie przepraszamy. Zaczekaj do momentu wysłania wpisu w dzienniku do deweloperów. Zalecamy ponowne uruchomienie aplikacji.<br/>Jeżeli problem będzie nadal występować, wyjdź z aplikacji i rozpocznij nową grę."
"report_bug_connection_error","Błąd połączenia! <br/>Niestety twoje zgłoszenie nie mogło zostać wysłane. <br/>Spróbuj ponownie albo użyj naszego serwera, aby wysłać informację lub zgłosić błąd."
"menu_sending","Wysyłanie"
"menu_auto_close","Automatyczne zamknięcie za"
"general_unlock","Odblokuj"
